Quiz 1,Quiz 2,Quiz 3,Quiz 4
8.00,3.50,1.50,7.00
4.00,5.00,2.00,5.50
9.00,8.00,8.00,9.50
9.00,6.50,9.00,6.50
5.00,6.00,5.50,8.00
5.50,8.00,4.00,4.00
9.00,9.00,8.00,7.00
6.50,8.00,8.00,8.50
4.00,2.50,10.00,9.50
4.00,3.00,3.00,3.50
5.50,7.00,6.50,5.50
10.00,5.50,4.00,8.50
10.00,7.00,9.00,8.50
8.00,4.00,9.00,6.00
7.50,7.50,3.00,8.50
10.00,8.50,7.50,8.50
8.00,4.50,10.00,10.00
5.50,4.50,2.00,3.50
8.00,4.50,7.00,8.50
6.50,2.50,6.50,8.50
10.00,7.50,5.50,10.00
6.50,5.00,9.00,10.00
8.00,5.00,8.50,7.00
7.00,6.00,3.00,8.50
10.00,8.00,7.00,9.50
9.00,6.50,4.00,10.00
5.50,2.50,3.00,2.50
10.00,8.00,10.00,10.00
2.00,1.50,4.00,2.00
8.00,3.00,9.00,6.00
7.00,6.50,3.00,4.00
4.00,5.00,6.00,9.00
9.00,5.00,8.00,6.50
7.00,1.00,2.50,2.50
8.50,4.00,1.50,2.00
6.00,2.50,5.00,6.50
8.00,5.50,6.50,9.00
9.00,3.00,1.00,5.50
8.50,2.50,8.00,5.00
8.00,4.50,8.00,7.50
8.50,4.00,5.50,7.00
8.00,6.50,7.00,7.50
8.00,5.50,7.00,8.00
9.00,8.50,6.00,7.00
7.00,6.50,4.00,5.50
5.50,1.00,3.50,7.00
7.00,5.00,4.00,8.00
9.00,8.00,6.00,9.50
6.00,6.00,9.00,8.00
8.00,5.00,5.50,2.50
9.00,8.00,10.00,9.50
9.00,5.50,10.00,8.50
9.00,4.00,10.00,8.50
7.00,3.50,6.50,5.50
5.50,4.50,5.50,8.00
8.00,7.00,7.00,8.50
7.00,4.50,6.00,9.00
9.50,9.00,8.00,10.00
8.00,6.50,4.00,7.00
6.50,5.00,8.00,9.50
8.00,5.50,3.00,7.00
4.50,3.00,4.00,7.50
10.00,6.50,6.50,10.00
10.00,6.50,8.00,5.50
7.50,3.50,3.50,8.00
6.50,3.00,4.50,1.00
9.00,5.50,9.00,7.50
4.50,1.00,2.00,5.00
9.00,3.50,6.00,7.50
6.50,0.50,2.00,7.50
5.50,2.00,4.50,3.00
9.50,3.00,3.50,3.00
10.00,6.00,9.00,9.00
9.50,7.50,6.50,10.00
6.00,8.00,7.00,7.50
9.50,7.00,9.00,6.50
8.00,6.50,7.50,6.50
8.00,4.00,3.50,5.00
7.00,2.50,2.00,6.50
4.50,3.50,4.00,7.50
6.00,6.00,5.50,4.00
8.50,3.50,4.00,7.00
5.00,4.50,1.00,7.50
10.00,7.00,7.00,9.50
6.50,6.00,7.00,6.50
7.00,5.50,6.50,8.00
5.00,1.50,2.00,4.50
9.00,6.00,10.00,10.00
8.00,5.00,6.00,5.50
9.00,3.00,6.50,5.50
8.00,3.50,5.50,7.00
7.50,4.00,4.00,6.00
8.00,6.00,10.00,7.00
9.00,5.50,9.00,9.00
6.00,3.00,4.00,6.00
3.50,4.00,4.50,10.00
9.00,8.00,9.00,7.00
6.50,2.50,8.00,6.00
10.00,7.00,9.00,9.50
8.00,6.00,2.50,9.00
8.00,2.00,4.50,10.00
8.00,5.50,10.00,9.50
8.00,3.50,5.50,2.00
9.00,5.00,8.00,8.50
7.00,3.00,7.50,7.50
8.00,7.50,6.00,7.50
8.50,3.00,7.50,7.00
8.00,5.00,7.50,4.50
9.00,7.00,8.00,7.50
5.50,9.00,9.00,7.50
8.00,1.00,2.00,1.50
10.00,3.00,7.00,6.00
9.00,6.50,8.00,8.50
5.50,3.50,1.00,3.00
8.00,4.50,4.50,4.50
4.00,5.50,9.00,6.00
10.00,5.00,4.50,6.50
10.00,7.50,8.00,9.00
9.00,4.00,5.50,1.50
7.00,7.00,3.00,8.00
10.00,7.00,6.50,7.00
4.50,2.00,5.50,5.00
10.00,7.00,5.50,8.00
8.00,5.50,7.00,9.00
10.00,2.00,7.00,7.00
9.00,7.50,8.00,9.00
9.00,4.00,7.00,8.00
9.00,3.00,9.00,7.00
9.00,4.00,8.00,9.50
8.00,9.00,7.00,10.00
4.50,4.00,2.00,7.50
8.00,8.00,10.00,10.00
9.00,5.50,4.00,6.50
9.00,7.00,10.00,9.00
6.50,6.00,10.00,10.00
7.00,5.00,4.00,3.00
9.00,7.50,7.00,6.00
10.00,7.00,8.00,9.50
10.00,5.00,9.00,9.50
10.00,6.50,1.00,6.00
5.50,3.50,8.00,5.50
8.50,7.00,8.00,8.50
6.50,6.50,6.00,10.00
8.00,6.50,6.50,10.00
10.00,4.50,8.00,8.50
5.00,6.00,4.00,6.00
7.00,7.00,8.00,6.00
7.00,3.50,7.00,3.00
9.00,7.50,6.00,7.00
5.50,8.50,6.00,4.50
7.00,5.50,5.50,6.50
7.00,5.50,6.50,8.50
10.00,4.50,6.00,8.00
9.00,1.50,1.00,4.50
8.00,4.50,3.00,7.00
8.00,3.50,5.00,8.50
5.50,7.00,6.50,3.50
7.50,5.00,4.50,7.50
6.00,4.00,5.50,5.50
9.00,8.50,7.00,9.00
7.50,4.50,5.00,8.50
9.00,8.50,7.00,10.00
10.00,5.00,5.00,8.50
6.00,2.50,6.00,7.00
6.00,2.50,8.00,8.00
4.00,4.00,6.00,1.00
5.50,4.50,7.00,7.50
7.50,2.50,6.00,3.00
7.00,7.50,4.00,7.50
6.50,6.00,7.50,6.00
1.00,3.50,2.00,5.00